Review,Hasil Perbandingan
"['tempatnya', 'luas', 'bernuansa', 'alam', 'spot', 'berfoto', 'area', 'bermain', 'kelinci', 'berfoto', 'binatang', 'kuda', 'tunggangandll', 'areanya', 'luas', 'medan', 'turun', 'cocok', 'berusia', 'cocok', 'anak', 'muda', 'berjiwa', 'muda', 'area', 'makan', 'floating', 'marketnya', 'menyajikan', 'pilihan', 'kuliner', 'dimana', 'pedagangnya', 'berjualan', 'diatas', 'perahutidak', 'bergerak', 'didesign', 'booth', 'jualan', 'minusnya', 'lalat', 'beterbangan', 'area', 'floatingnya', 'meja', 'dipenuhi', 'lalat', 'aksesnya', 'ramah', 'kursi', 'roda', 'ak', 'masuk', 'gerbang', 'utama', 'melewati', 'tangga', 'staff', 'security', 'ramah', 'membantu', 'menggangkat', 'kursi', 'roda', 'melewati', 'tangga', 'harga', 'tiket', 'masuk', '', 'ribu', 'orang', 'beli', 'murah', 'aplikasi', 'tiket', 'parkir', 'dihitung', 'perjam', 'berkunjung', 'topi', 'area', 'terbuka', 'terik', 'oh', 'iya', 'makan', 'makan', 'rekomen', 'dibelakang', 'bilik', 'toilet', 'danau', 'harganya', 'normal', 'tempatnya', 'nyaman', 'bersih', 'enak', 'ukuran', 'wisata', 'pesan', '', 'porsi', 'bakso', 'rp', 'porsinya', 'mengenyangkan', 'e', 'americano', 'rp', 'ukuran', 'regular', 'e', 'teh', 'tawar', 'rp', '']",Positive
"['kali', 'lsng', '', 'wahana', 'floating', 'market', 'kota', 'mini', 'kota', 'mini', 'lumayan', 'seru', 'anak', 'anak', 'bermain', 'permainan', 'mesti', 'beli', 'tiket', 'serunya', 'perahu', 'bebek', 'coba', 'jajanan', 'dijual', 'perahu', 'pembayarannya', 'mesti', 'koin', 'sediakan', 'jd', 'tukar', 'dl', 'loket', 'pembayarannya', 'cash', 'qris', 'mesti', 'penukaran', 'koin', 'dikenakan', 'pajak', 'makanan', 'banget', 'jenisnya', 'cilok', 'bakar', 'sate', 'gejrot', 'wahana', 'ala', 'ala', 'jepang', 'foto', 'musala', 'pria', 'wanita', 'parkiran', 'lumayan', 'luas']",Positive
"['kesini', 'jam', '', 'sabtu', 'pagi', 'best', 'choice', 'banget', 'belom', 'rame', 'adem', 'kemarin', 'pilih', 'floating', 'market', 'kota', 'mini', 'rp', '', 'main', 'kota', 'mini', 'beda', 'lg', 'ya', 'activity', 'rp', '']",Positive
"['bagus', 'gambar', 'main', 'rainbow', 'slide', 'makanan', 'mahal', 'enak', 'belian', 'makan', 'minum', 'koin', 'koin', 'dibeli', 'tukar', 'uang', 'bagus', 'jalan', 'jalan', 'lihat', 'harga', 'tukar', 'koin', 'sahaja']",Positive
"['tinggal', 'lembang', '', 'kalinya', 'ane', 'berkunjung', 'floating', 'market', 'wow', 'kesan', 'kesini', 'bagus', 'guy', 'pa', 'turun', 'hujan', 'maybe', 'next', 'time', 'i', 'will', 'visit', 'again', 'see', 'you', 'floating', 'market']",Positive
"['cocok', 'liburan', 'keluarga', 'htm', 'k', 'ditukar', 'minuman', 'pilih', 'kopi', 'milo', 'e', 'jeruk', 'wahana', 'dipilih', 'perahu', 'danau', 'makan', 'kelinci', 'bayar']",Negative
"['wisata', 'populer', 'favorit', 'daerah', 'lembang', 'pemandangan', 'indah', 'suasana', 'syahdu', 'tarif', 'tiket', 'sesuai', 'kualitas', 'wisata', 'full', 'fasilitas', 'memadai', 'perunjuk', 'arah', 'rute', 'informatif']",Positive
"['kali', 'tetep', 'ok', 'ak', 'jalan', 'mantap', 'parkiran', 'luas', 'puluhan', 'mobil', 'belasan', 'bus', 'area', 'menikmati', 'bermacamw', 'wahana', 'kolam', 'perahu', 'bermain']",Positive
"['wisata', 'cocok', 'wisata', 'keluarga', 'anak', 'menjual', 'konsep', 'floating', 'market', 'dinikmati', 'sistem', 'penjualan', 'koin', 'pilihan', 'menu', 'makanan', 'menikmati']",Positive
"['seru', 'didalamnya', 'memilih', 'kegiatan', 'jelajahi', 'jajanan', 'kuliner', 'rainbow', 'slide', 'thrilling', 'atv', 'offroad', 'kota', 'kolam', 'renang', 'go', 'kart', 'tiket', 'masuk', 'murah', 'k', 'udah', 'free', 'rainbow', 'slide', 'tiket', 'permainan', 'berbayar']",Positive
"['tiket', 'masuk', 'rp', 'rb', 'orang', 'free', 'minum', 'area', 'wisatanya', 'luas', 'instagramable', 'eksplor', 'saking', 'capeknya', 'jalan', 'kaki', 'spot', 'wisata', 'ramah', 'anak', 'perosotan']",Positive
"['luas', 'banget', 'siapkan', 'fisik', 'jalanjalan', 'mengeliling', 'spotspot', 'foto', 'cantik', 'permainan', 'rainbow', 'slide', 'harga', 'k', 'orang', '', 'kali', 'main', 'wahana', '', 'meter', '', 'meter', 'bikin', 'jantung']",Positive
"['woaah', 'super', 'seru', 'bayar', 'masuknya', '', 'ribu', 'orang', 'parkirannya', 'luas', 'tempatnya', 'bersih', 'asri', 'ramee', 'kalo', 'weekend', 'cobain', 'rainbow', 'slide', 'harganya', 'ribu', 'foto', 'b', 'dicetak', 'dikirim', 'by']",Positive
"['suka', 'kesini', 'tiket', 'murah', 'tuker', 'minuman', 'spot', 'foto', 'taneman', 'penyegaran', 'penghijauan']",Positive
"['enak', 'ajak', 'anak', 'anak', 'keluarga', 'jajanan', 'kalo', 'masuk', 'tiket', 'tukar', 'minuman', 'parkir', 'pusat', 'oleh', 'area', 'parkirnya']",Positive
"['berkunjung', 'kesini', 'sore', 'dihari', 'minggu', 'lumayan', 'ramai', 'pengunjung', 'pesan', 'tiket', 'masuk', 'sepaket', 'rainbow', 'slide', 'k', 'tiket', 'msuk', 'ditukar', 'minuman', 'beli', 'makanan', 'koin', 'disediakan']",Positive
"['floating', 'market', 'lembang', 'spot', 'floating', 'market', 'ditemui', 'spot', 'foto', 'menarik', 'salah', 'satunya', 'spot', 'foto', 'ala', 'jejepangan', 'foto', 'booth', 'sediakan', 'membayar', 'harga', '', 'ribu']",Positive
"['floating', 'market', 'lembang', 'destinasi', 'wisata', 'cocok', 'keluarga', 'pasangan', 'khusus', 'keluarga', 'suasana', 'fasilitasnya', 'dinikmati', 'orang', 'dewasa', 'anakanak', 'lansia']",Positive
"['areanya', 'luas', 'kolam', 'tengahtengah', 'dipinggiran', 'jualan', 'terapung', 'spot', 'foto', 'bayar', 'tersendiri', 'cocok', 'kunjungan', 'keluarga', 'rombongan']",Negative
"['floating', 'market', 'lembang', 'salah', 'rekreasi', 'wajib', 'kunjungi', 'kedaerah', 'lembang', 'tempatnya', 'sejuk', 'teduh', 'pemandangannya', 'bagus', 'karna', 'pohon', 'danau', 'tenang', 'bersih']",Positive
"['kalo', 'kebandung', 'sempetin', 'kesini', 'udah', 'afal', 'rute', 'aja', 'didalem', 'sinirasanya', 'lembang', 'ga', 'afdol', 'kalo', 'ga', 'kesini', 'anw', 'makanan', 'floating', 'makanan', 'harga', 'standart', 'loh', 'ga', 'ngetok', 'harganyakayanya', 'alasan', 'bikin', 'ketagihan', 'kesini']",Neutral
"['kesini', 'pa', 'banget', 'dapet', 'free', 'htm', 'pake', 'whoosh', 'kcic', 'lumayan', 'hemat', 'htm', 'rb', 'tempatnya', 'nyaman', 'wahananya', 'pilihan', 'bayar', 'ya', 'atvrainbow', 'slide', 'rb', 'x', 'speedway', 'danaunya', 'bersih', 'tempatnya', 'sejuk', 'kalo', 'jajan', 'floating', 'marketnya', 'beli', 'koin', 'uang', 'ppn', 'rb', 'makanannya', 'bervariasi']",Positive
"['taman', 'rekreasi', 'pa', 'keluarga', 'anak', 'anak', 'cuman', 'aga', 'ribet', 'jual', 'beli', 'makanan', 'floating', 'marketnya', 'ditukar', 'koin']",Neutral
"['ny', 'luas', 'bangettsangat', 'kid', 'friendly', 'wahana', 'permainan', 'anak', 'kluarga', 'd', 'spot', 'fhoto', 'ny']",Positive
"['tiketnya', 'murah', 'parkirnya', 'luas', 'wahana', 'lg', 'dalemnya', 'sejuk', 'adem', 'dapet', 'kopi', 'mnta', 'air', 'panas', 'dksh', 'abangnya']",Positive
"['wisata', 'cocok', 'kulineran', 'utuk', 'kulineran', 'makanan', 'kisaran', 'harga', 'kk', 'membeli', 'makanannya', 'menukarkan', 'uang', 'koin', 'duduk', 'bersantai']",Positive
"['so', 'far', 'oke', 'jalan', 'temen', 'sodara', 'pacar', 'kalo', 'tempatnya', 'masi', 'asri', 'bnyk', 'hijau', 'healing', 'tiket', 'masuk', 'rb', 'orang', 'dalem', 'perahu', 'wahana', 'beli', 'makan', 'masi', 'bayar', 'masi', 'terjangkau']",Positive
"['tempatnya', 'bagus', 'pemandangannya', 'bagus', 'karna', 'pohon', 'danau', 'tenang', 'bersih', 'wahana']",Positive
"['the', 'place', 'is', 'so', 'good', 'to', 'bring', 'your', 'kid', 'here', 'nyari', 'jalan', 'masuknya', 'susah', 'banget', 'dn', 'kalo', 'high', 'season', 'macet']",Positive
"['so', 'far', 'menarik', 'minat', 'rainbow', 'slide', 'spot', 'foto', 'perahu', 'warung', 'perahunya', 'menarik', 'nggak', 'nyobain']",Positive
"['beragam', 'kuliner', 'wahana', 'permainan', 'tersedia', 'tempatnya', 'bagus', 'salah', 'wajib', 'dicoba', 'seluncurannya']",Positive
"['kali', 'kesini', 'anak', 'anak', 'suka', 'tantangannya', 'perjalanan', 'lembang', 'pagi', 'pagi', 'terkena', 'macet', 'parkirnya', 'gak', 'pohonnya', 'panas', 'didalam', 'restorannya']",Positive
"['tempatnya', 'nyaman', 'suasananya', 'adem', 'perahunya', 'seru', 'pemandangannya', 'cantik', 'saranin', 'datengnya', 'pagi', 'siang', 'mataharinya', 'terik']",Positive
"['udah', '', 'kalinya', 'kesini', 'tiket', 'masuknya', 'murah', 'rb', 'bawa', 'uang', 'karna', 'masuk', 'kota', 'mini', 'rainbow', 'slide', 'outbond', 'bayar', 'ditambah', 'jajanan', 'kuliner', 'dalamnya']",Negative
"['viewnya', 'bagus', 'harganya', 'ngerampok', 'makan', 'pakai', 'koin', 'nonrefundable', 'transaksi', 'qris', 'minimum', 'rp', '', 'ribu', 'makanan', 'overrated', 'sekedar', 'bagus', 'view', 'activity', 'aja', 'kalo', 'gak', 'butuhbutuh', 'mending', 'jajan']",Positive
"['wisata', 'bagus', 'pemandangannya', 'sanggat', 'menyejukkan', 'beragam', 'jenis', 'jajanan', 'byk', 'tempat²', 'permainan', 'anak', 'hewan', 'kecil', 'lucu', 'cocok', 'anak', 'org', 'dewasa', 'inggin', 'melepas', 'kejenuhan']",Positive
"['harga', 'tiket', 'masuk', 'perorang', '', 'rbmobil', '', 'rb', 'blm', 'biaya', 'parkir', 'worthy', 'krn', 'keren', 'foto', 'fotocuman', 'sayang', 'kursi', 'meja', 'makan', 'jd', 'org', 'dewasa', 'susah', 'duduk']",Positive
"['seneng', 'bangettttttt', 'dapet', 'kesempatan', 'ketempat', 'iniiii', 'tempatnya', 'indah', 'sejuk', 'bersih', 'keren', 'bgttt', 'disana', 'main', 'rainbow', 'slide', 'seru', 'menegangkan', 'tempatnya', 'nyaman', 'toiletnya', 'bersih']",Positive
"['wisata', 'tujuan', 'kebandung', 'bareng', 'keluarga', 'krn', 'luas', 'jd', 'sehari', 'kesana', 'eksplor', 'smua', 'spotnya', 'tempatnya', 'adem', 'byk', 'teduh', 'istrht', 'pa', 'kaki', 'pegel', 'ngikutin', 'anak', 'kesana', 'kemari', 'varian', 'makannya']",Positive
"['alhamdulillah', 'kesini', 'tempatnya', 'bagus', 'udaranya', 'segar', 'pusat', 'kota', 'pemandangannya', 'indah', 'bunga', 'tanaman', 'tmp', 'makan', 'relatif', 'terjangkau', 'tmp', 'kami', 'jalanan', 'macet', 'floating', 'market', 'ramai', 'tersedia', 'permainan', 'anak']",Positive
"['masuk', 'rborang', 'parkir', 'rbjam', 'tiket', 'dituker', 'minuman', 'lemon', 'kopi', 'susu', 'disana', 'makan', 'pakai', 'koin', 'plastik', 'uang', 'ditukar', 'koin', 'bayar', 'makanan', 'harga', 'makanan', 'rb']",Neutral
"['wisata', 'bagus', 'cocok', 'keluarga', 'menyediakan', 'pilihan', 'floating', 'market', 'wahana', 'bermain', 'harga', 'tiket', '', 'k', 'weekend', 'rame', 'weekendhari', 'libur']",Positive
"['kawasan', 'wisata', 'bagus', 'tertata', 'rapi', 'pilihan', 'berfoto', 'menikmati', 'pemandangan', 'kolam', 'renang', 'perahu', 'floating', 'market', 'menjual', 'makanan']",Positive
"['makanan', 'baso', 'aci', 'enak', 'sate', 'maranggi', 'enak', 'mie', 'kocok', 'lumayan', 'mesti', 'tukar', 'uang', 'ganti', 'koin', 'biar', 'beli', 'jajan', 'jajan']",Positive
"['tempatnya', 'rekomen', 'liburan', 'keluarga', 'teruma', 'wisata', 'kuliner', 'makanan', 'enak', 'pemandangan', 'wahana', 'disediakan', 'harga', 'tiket', 'masuk', 'kenakan', 'seharga', 'rp', 'orang']",Positive
"['ngga', 'salah', 'liburan', 'kesini', 'tempatnya', 'sejuk', 'banget', 'bersih', 'terawat', 'suka', 'tantangan', 'coba', 'rainbow', 'slide', 'tiketnya', 'rb', 'meluncur', 'ambil', 'foto', 'dokumentasi', 'meluncur', 'area', 'snack', 'drink', 'penjualan', 'tiket', 'fotonya', 'rb']",Positive
"['seru', 'disiniiii', 'udara', 'sejuk', 'bengong', 'doang', 'asik', 'banget', 'kesini', 'pa', 'weekday', 'rame', 'ketemu', 'anak', 'study', 'tour']",Positive
"['lumayan', 'ramai', 'weekend', 'pembelian', 'makanannya', 'ditukar', 'koin', 'cocok', 'liburan', 'bareng', 'keluarga']",Neutral
"['kemari', 'kemauan', 'anak', 'istri', 'n', 'gank', 'emang', 'udah', 'rencana', 'mari']",Positive
"['salah', 'wisata', 'lembang', 'bandung', 'salah', 'wisata', 'dikenal', 'turis', 'didalam', 'diluar', 'bandungtempat', 'wisatanya', 'enak', 'danaunyadisini', 'masyarakat', 'menikmati', 'jajanan', 'danau']",Positive
"['wisata', 'nyaman', 'wisata', 'keluarga', 'wahana', 'disediakan', 'pengelola', 'wahana', 'air', 'becak', 'mini', 'taman', 'kelinci', 'rainbow', 'garden', 'wisata', 'kota', 'mini', 'fasilitas', 'tersedia', 'pengunjung']",Positive
"['nyaman', 'wisata', 'keluarga', 'makanan', 'b', 'aja', 'si']",Positive
"['pagi', 'ga', 'kena', 'macet', 'makan', 'ga', 'padat', 'banget', 'ramai']",Positive
"['pengalaman', 'perpisahan', 'anakanak', 'kelas', 'vi', 'sdit', 'a', 'shof', 'depok', 'berkesan', 'berkunjung', 'floating', 'market', 'pasar', 'terapung', 'lembang']",Neutral
"['asyik', 'melepas', 'penat', 'puaspuasin', 'pepotoan', 'spot', 'foto', 'estetiknya', 'wahana', 'bermain', 'jajanan', 'tema', 'bikin', 'kesan', 'one', 'stop', 'healing', 'nice', 'cocok', 'wisata', 'keluarga', 'arisan', 'reunian', 'jamu', 'tamu', 'kota']",Positive
"['pengunjung', 'mendapatkanarea', 'refreshing', 'menyenangkan', 'seru', 'banget', 'rainbow', 'slide', 'jajanan', 'area', 'cash', 'coin']",Positive
"['seru', 'makan', 'pinggir', 'danau', 'menikmati', 'pemandangan', 'perahu', 'lalang', 'menurutku', 'inti', 'floating', 'market', 'jajanannya', 'jajannya', 'lucu', 'pake', 'koin', 'gitu', 'tuker', 'penjualnya']",Positive
"['makan', 'makan', 'jajanan', 'rekreasi', 'penuh', 'weekend', 'penjuru', 'jawa', 'ga', 'tau', 'jawa', 'tinggal', 'pulau', 'jawa', 'aja', 'hehehe', 'lumayan', 'harga', 'harga']",Positive
"['gak', 'kesini', 'luas', 'taman', 'bunganya', 'keren', 'banget', 'rainbow', 'slide', 'keren']",Positive
"['suka', 'banget', 'gak', 'nyesel', 'jauh²', 'bawa', 'anak²', 'liburan', 'kesini', 'wahana', 'menarik', 'recommended', 'wisata', 'keluarga']",Positive
"['masuk', 'tiket', '', 'trmasuk', 'wahana', 'didalamnya', 'tiket', 'masuk', 'ditukar', 'minuman', 'wahana', 'atv', 'kuda', 'perahu']",Neutral
"['berkalikali', 'bandung', 'slalu', 'kesini', 'suka', 'adem', 'saung', 'istirahat', 'freee', 'alias', 'gratis', 'stand', 'makanan', 'beragam', 'harga', 'lumayan', 'mahal', 'ppn', 'lupa', 'jajan', 'tuker', 'koin']",Positive
"['perdana', 'kesini', 'maret', 'ga', 'nyesel', 'hujanhujanan', 'berangkat', 'pagi', 'hotel', 'weekday', 'jalanan', 'macet', 'tiket', 'masuk']",Positive
"['ramah', 'anak', 'wahana', 'saking', 'luasnya', 'sempet', 'masuk', 'perwahana', 'berbayar', 'kisaran', '', 'sd', 'k']",Positive
"['nyaman', 'dikunjungi', 'keluarga', 'pedagangnya', 'petugasnya', 'sgt', 'ramah', 'pilihan', 'spotnya', 'beragam', 'rainbow', 'garden', 'mini', 'world', 'kyotoku', 'spotnya', 'keren', 'harga', 'makanan', 'terjangkau', 'jgn', 'lupa', 'transaksi', 'pakai', 'koin', 'floating', 'market', 'ya']",Positive
"['tempatnya', 'bersih', 'rindang', 'ak', 'mudah', 'macet', 'lembang']",Positive
"['adeeemmm', 'toilet', 'belanja', 'oleholeh', 'mushola', 'pokoknya', 'betah', 'nongkrong', 'seharian']",Positive
"['tempatnya', 'adem', 'kudu', 'kuat', 'jalan', 'aja', 'kalo', 'pengen', 'jelajahi', 'makanan', 'enak', 'enak', 'bijak', 'aja', 'belinya', 'suhu', 'dingin', 'cepet', 'lapar', 'mending', 'beli', 'makanan', 'berat', 'gak', 'boncoss']",Positive
"['wisata', 'tmpt', 'makan', 'tg', 'pilihannya', 'ud', 'cemal', 'cemildisini', 'seru', 'main', 'rainbow', 'slide']",Positive
"['opsi', 'wisata', 'ramah', 'umur', 'berlibur', 'lembang', 'keluarga', 'masuk', 'area', 'voucher', 'minuman', 'hangat', 'gratis', 'redeem', 'sewaktuwaktu', 'area', 'lainpun', 'kalah']",Positive
"['the', 'best', 'amusement', 'park', 'in', 'lembang', 'lengkap', 'wahana', 'hiburannya', '', 'penuh', 'maksimal', 'menikmati', 'wahana']",Positive
"['udah', 'x', 'kesini', 'tempatnya', 'luas', 'adem', 'spot', 'foto', 'cocok', 'wisata', 'keluarga', 'recomend']",Positive
"['harga', 'tiket', 'k', 'weekend', 'minuman', 'pintu', 'masuk', 'kuliner', 'sistemnya', 'pakai', 'koin', 'disediakan', 'spot', 'foto', 'bagus', 'kawasan', 'jepang', 'gitu', 'sewa', 'kimono']",Positive
"['tiket', 'masuk', 'perorangan', 'k', 'tempatnya', 'luas', 'spot', 'poto', 'jajanan', 'diperahu', 'apung', 'jajanan', 'enak']",Neutral
"['nyobain', 'rainbow', 'slide', 'market', 'floatingnya', 'sistem', 'coin', 'ditukarin', 'uang', 'harga', 'k', '', 'org', 'masuk']",Neutral
"['wisata', 'nyaman', 'asri', 'sejuk', 'wahana', 'tersedia', 'ditempat', 'berhubung', 'berkunjung', 'pekan', 'jdi', 'sepi', 'nikmati', 'wahana', 'dinikmati']",Positive
"['seruuu', 'sihh', 'anak', 'anak', 'happy', 'banget', 'kesini', 'datangnya', 'weekday', 'lumayan', 'ngantri', 'rainbow', 'slide', 'anak', 'anakku', 'suka', 'banget']",Positive
"['wisata', 'lembang', 'harga', 'tiket', 'masuk', 'rborang', 'weekend', 'didalam', 'floating', 'market', 'destinasi', 'wisata', 'kota', 'mini', 'berbayar', 'seharga', 'rborang', 'beli', 'diawal', 'tiket', 'masuk', 'floating']",Positive
"['nyaman', 'bersantai', 'keluarga', 'spot', 'foto', 'keren', 'food', 'court', 'pilihan', 'harga', 'bersahabat', 'berbelanja', 'menukarkan', 'uang', 'mata', 'uang', 'mainan', 'berlaku', 'd', 'floating', 'market', 'ppn', 'pastinya', 'rainbow', 'slide', 'lumayan', 'meningkatkan', 'adrenalin', 'sebentar']",Positive
"['the', 'best', 'bawa', 'rombongan', 'skalian', 'booking', 'lunch', 'disediakan', 'jogjlo', 'makan', 'rombongan', 'makanan', 'prasmanan', 'menu']",Positive
"['berlibur', 'keluarga', 'lengkap', 'fasilitasnya', 'pilihan', 'nikmati', 'macam²', 'kuliner', 'ringan', 'berat', 'arena', 'bermain', 'anak²', 'dewasa', 'parkir', 'luas', 'kendaraan', 'bi', 'ak', 'jalan', 'masuk', 'kendaraan', 'sempit']",Positive
"['kali', 'kesini', 'jakarta', 'rela', 'macetan', 'menikmati', 'suasana', 'tenang', 'sejuk', 'jd', 'destinasi', 'wisata', 'recommended']",Positive
"['tiket', 'masuk', 'k', 'dituker', 'minuman', 'tenant', 'makanan', 'perahu', 'terapung', 'cobain', 'sate', 'maranggi', 'lumayan', 'enak', 'k', 'minusnya', 'wahana', 'race', 'mobil', 'k', 'menit', 'worth', 'it', 'lumayan']",Positive
"['wisata', 'kelurga', 'ternyaman', 'sebandungakses', 'mudah', 'prkiran', 'luaskolam', 'renang', 'adakolam', 'ikan', 'adadanau', 'adaperahu', 'adamushola', 'wc', 'bersih', 'dimana', 'manasebelum', 'masuk', 'tukar', 'tiket', 'minuman', 'dulubanyak', 'wahana', 'bermain', 'anak', 'anaktapi']",Positive
"['tiket', 'rporang', 'anak', '', 'th', 'bayar', 'tiket', 'full', 'suasana', 'sejuk', 'keliatan', 'panas', 'terik', 'udaranya', 'sejuk', 'jd', 'ga', 'sumuk']",Positive
"['kali', 'kesini', 'udaranya', 'enak', 'banget', 'langitnya', 'biru', 'tanaman', 'bagus', 'anak', 'anak', 'suka', 'main', 'jajanan']",Positive
"['tempatnya', 'ok', 'banget', 'liburan', 'keluarga', 'wahana', 'jajanan', 'enakenak', 'pengen', 'beli', 'jajanannya', 'pa', 'kesini', 'habis', 'lebaran', 'rame', 'bangettttt']",Positive
"['makanan', 'tersedia', 'dijual', 'perahu', 'perahu', 'spot', 'main', 'anakanak', 'salah', 'satunya', 'mini', 'train', 'menarik']",Positive
"['bagus', 'nyatapi', 'berteduh', 'sabtu', 'tgl', '', 'november', '', 'kemarin', 'kandang', 'kelinci', 'hujan', 'derasdan', 'susah', 'mencari', 'berteduh']",Negative
"['keren', 'bagus', 'luas', 'tempatnya', 'htm', 'rborang', 'bundling', 'tiket', 'floating', 'market', 'kota', 'mini', 'beli', 'pintu', 'masuk', 'anak', '', 'kena', 'htm', 'ya']",Positive
"['makanan', 'floating', 'market', 'wa', 'so', 'yummy', 'harga', 'murah', 'banget', 'bagus', 'dijadiin', 'taman', 'rekreasi', 'keluarga']",Positive
"['wisata', 'ok', 'tiket', 'k', 'free', 'minuman', 'cofee', 'coklat', 'panas', 'teh', 'didalam', 'bayar', 'lg', 'ya', 'beli']",Positive
"['tempatnya', 'nyaman', 'jalan', 'keluarga', 'harga', 'terjangkau', 'bnyak', 'saungnya', 'free', 'tip', 'hemat', 'beli', 'tiket', 'online', 'murah', 'dr', 'on', 'the', 'spot']",Positive
"['liburan', 'menarik', 'liburan', 'keluarga', 'cocok', 'banget', 'spot', 'foto', 'permainan', 'seru', 'menarik', 'liburan', 'seruuu']",Positive
"['lembang', 'ramai', 'ya', 'main', 'kesini', 'tempatnya', 'menginap', 'biaya', 'masuk', 'rp', '', 'ditukar', 'minuman', 'kopi', 'coklat', 'e', 'jeruk', 'sayang', 'kekuranganya', 'jajan', 'area', 'floating']",Neutral
"['nggak', 'nyesel', 'spot', 'foto', 'wahana', 'permainannya', 'lumayan', 'anakanak', 'orang', 'dewasa', 'bebek', 'gowes', 'kapal', 'main', 'virtual', 'reality', 'rainbow', 'slide', 'atv', 'kolam', 'renang', 'gratis', 'nggak', 'udah', 'bayar', 'lg']",Positive
"['wisata', 'pasar', 'terapung', 'letaknya', 'lembang', 'bandung', 'tiket', 'masuk', 'terjangkau', 'ditukar', 'welcome', 'drink', 'anak', 'dibawah', '', 'cm', 'masuk', 'gratis', 'suasana', 'sejuk', 'duduk', 'saung', 'nyaman', 'bawa']",Positive
"['tempatnya', 'bagus', 'bnyak', 'spot', 'photo', 'wahana', 'anak', 'cocok', 'liburan', 'keluarga']",Positive
"['bagus', 'sejuk', 'spot', 'foto', 'wahana', 'seru', 'tiketnya', 'murah', 'ditukar', 'minuman']",Positive
"['luas', 'wahana', 'anak', 'bagus', 'jalan', 'jalan', 'keluarga', 'nyobain', 'rainbow', 'slide']",Positive
"['masuk', 'weekday', 'rborang', 'diluar', 'parkir', 'bayar', 'sesuai', 'jam', 'parkir', 'lumayan', 'bnyk', 'spot', 'foto', 'permainan', 'syg', 'permainan', 'berbayar', 'spt']",Positive
"['bagus', 'menikmati', 'keluarga', 'suasana', 'pedesaan', 'bagus', 'permainan', 'coba']",Positive
