Review,Hasil Perbandingan
"['mencoba', 'memakan', 'nasi', 'goreng', 'soto', 'berubah', 'manis', 'kecap', 'kebanyakan', 'hambar', 'asin']",Negative
"['restonya', 'nyaman', 'makan', 'bersih', 'parkiran', 'aga', 'sulit', 'terbatas']",Positive
"['mayan', 'mahal', 'ngelayanin', 'cepet', 'banget', 'kayanya', 'bounding', 'gitu', 'lol', 'orngny', 'trus', 'sinkron', 'kaya', 'latihan', 'gitu']",Negative
"['kalo', 'k', 'bandung', 'beli', 'varian', 'ok']",Neutral
"['kue', 'enak', 'enakbentuk', 'bagus²', 'harga', 'standar']",Positive
"['terimakasih', 'pelayanan', 'mohon', 'maaf', 'akang', 'toilet', 'kalo', 'bicara', 'baikbaik', 'aja', 'gak', 'nada', 'mengusir', 'nada', 'marah', 'baper', 'alangkah', 'restoran', 'kelas', 'pelayanan']",Negative
"['susu', 'lembang', 'tuh', 'lembuuutt', 'banget', 'dmakannya', 'dsini', 'ga', 'menjual', 'susu', 'ajaa', 'rumah', 'sosis', 'n', 'oleh', 'bandung']",Positive
"['kuat', 'mental', 'kuat', 'dompet', 'antrian', 'harga', 'mahal', 'bersahabat', 'beli']",Negative
"['harga', 'terjakautempat', 'nyamanlive', 'music', 'mantappelayanan', 'cepat']",Positive
"['berinovasi', 'khas', 'dipertahankan']",Positive
"['masakannya', 'enakkk', 'chinese', 'food', 'taste']",Positive
"['harga', 'mahal', 'berganti', 'prasmanan', 'mengecewakan', 'mie', 'instan', 'kayak', 'mie', 'frozen', 'trus', 'dipanasin', 'make', 'microwave', 'kera', 'mie', 'instan', 'harga', 'ribu']",Negative
"['disaat', 'covid', 'kaya', 'gini', 'buangettt', 'penjual', 'pegawainya', 'pakai', 'masker', 'asalasalan', 'turun', 'dagu']",Negative
"['makananya', 'enak', 'sopnya', 'manyussss']",Positive
"['tempat', 'makanan', 'enak']",Positive
"['letaknya', 'gedung', 'kfc', 'bagus', 'terang', 'luas', 'meja', 'kursi', 'populer', 'kue', 'soes', 'eclair', 'isian', 'rum', 'krim', 'isian', 'krim']",Positive
"['driver', 'online', 'beli', 'layanilah', 'sesuai', 'sop', 'perusahaan', 'kayak', 'gitu', 'sop', 'perusahaan', 'order', 'udah', 'menit', 'bil', 'ga', 'kasih', 'dapur', 'parah']",Negative
"['makanan', 'enak', 'pelayanan', 'gesit', 'waiter', 'd', 'anggota', 'waiter', 'terimakasih']",Positive
"['makanan', 'tempatnya', 'ok', 'cm', 'palayanya', 'aga', 'lelet', 'trus', 'order', 'dibawa', 'plg', 'eehh', 'pa', 'dateng', 'pesenannya', 'salah', 'pesan', 'e', 'teh', 'leccy', 'dateng', 'thaiteajd', 'aq', 'kasih', 'bintang', 'aja', 'yaa']",Negative
"['udah', 'gak', 'enak', 'kaya', 'baksonya', 'kera', 'ga', 'mateng', 'dalemnya', 'kuah', 'kaldunya', 'udah', 'gak', 'kaya', 'kelapanya', 'tua', 'mahal', 'kecewa']",Negative
"['pilihan', 'makanan', 'harga', 'terjangkau']",Positive
"['tempatnya', 'cozy', 'lumayan', 'pilihan']",Positive
"['murah', 'pelayanan', 'ok', 'tempatnya', 'bersih']",Positive
"['pelayanan', 'ramah', 'menu', 'mengecewakan', 'harga', 'mahal', 'dinikmati', 'mengecewakan']",Negative
"['kalo', 'wifi', 'gratis', 'tuk', 'kerjakan', 'tugasbolehlah', 'makanannya', 'standard', 'standard']",Neutral
"['enak', 'baksonya', 'rame', 'banget', 'suka', 'ga', 'kedapatan']",Positive
"['andalan', 'nongkrong', 'jam', 'kota', 'bandung', 'menu', 'makanan', 'minuman', 'bervariasi', 'lokasi', 'mudah', 'ditemui', 'pinggir', 'jalan', 'parkiran', 'luas', 'penuh', 'ramai', 'harga', 'terjangkau', 'banget', 'mahasiswa']",Positive
"['makan', 'sinimenurut', 'sie', 'masakannya', 'lumayan', 'enakcuma', 'lahan', 'parkirnya', 'tuk', 'mbl']",Positive
"['enak', 'pilihan', 'basonya', 'mie', 'beragam']",Positive
"['bagus']",Positive
"['makanan', 'pilihan', 'cocok', 'ngedate', 'bareng', 'gebetannya', 'mu', 'antwerp']",Positive
"['bagus', 'pilihan', 'makanan', 'tahunya', 'enak', 'lembut', 'gurih']",Positive
"['tempatnya', 'bagus', 'cm', 'sayang', 'kemari', 'kesiangan', 'jd', 'panas', 'bgttp', 'rekomen', 'ksini', 'ajak', 'family', 'tempatnya', 'bener', 'nice']",Positive
"['tempatnya', 'toko', 'gedung', 'susah', 'dicari', 'memiliki', 'papan', 'nama', 'kfc']",Negative
"['beli', 'nyobain', 'dus', 'kesini']",Neutral
"['martabak', 'pilih', 'topping', 'coklat', 'keju', 'jagung']",Neutral
"['ak', 'mudah', 'pelayanan', 'lumayan', 'not', 'bad', 'harga', 'sebanding']",Positive
"['enak', 'murah', 'kantong']",Positive
"['salah', 'satu', 'toko', 'bandung', 'terkenal', 'pilihan', 'cari', 'oleh', 'kue', 'soes']",Positive
"['pembayaran', 'pakai', 'gopay']",Neutral
"['nasi', 'mateng', 'jdi', 'makan', 'nasi', 'goreng', 'kaya', 'nasi', 'mentah']",Negative
"['fav', 'masakan', 'buncis', 'sambalnya', 'nendang', 'lapar', 'malam', 'kesini', 'buka', 'sekitaran', 'jam', 'wib']",Positive
"['makanan', 'enak', 'toilet', 'alakadarnya', 'peralatan', 'makan', 'plastik', 'menghargai', 'uang']",Positive
"['ponya', 'tempatnya', 'dalem', 'gang']",Neutral
"['makan', 'dahsyat', 'buka', 'pembeli', 'dah', 'antri']",Positive
"['ambience', 'berasa', 'pecinan', 'interiornya', 'fotofoto', 'jadul', 'nilai', 'seni', 'tempatnya', 'luas', 'pelayanannya', 'overall', 'jam', 'pengunjung', 'ngga']",Negative
"['asli', 'enak', 'lumer', 'mulut', 'sprt', 'coklat', 'lava']",Positive
"['merekomendasikan']",Positive
"['sempit', 'padat', 'suasananya', 'ramai', 'panas']",Negative
"['rekomendasi', 'makanan', 'sehat', 'bandung']",Positive
"['sate', 'daging', 'sapi', 'lembut', 'sate', 'kambing', 'ga', 'amis', 'sate', 'ayam', 'gede', 'sizenya', 'saus', 'kecap', 'juara']",Positive
"['pagi', 'jam', 'an', 'istri', 'janjian', 'partner', 'kerja', 'ngopdoel', 'samapi', 'kesana', 'jam', 'mnitan', 'jarak', 'rumah', 'tmpt', 'pintu', 'gerbangnya', 'buka']",Neutral
"['beroperasi', 'efek', 'gempa', 'tsunami', 'sept', 'buka', 'kl', 'pux', 'rekanan', 'd', 'jamu', 't', 'representatiflah']",Neutral
"['parkiran', 'luas', 'ramai', 'yaa', 'pelayanan', 'gercep', 'bakso', 'bakso', 'titoti', 'tipikal', 'baksonya', 'empuk', 'kera', 'krenyes', 'daging', 'banget', 'kuah', 'kental', 'overall', 'enak', 'oya', 'debit', 'ya', 'cmn', 'cashtransfer']",Positive
"['makan', 'buka', 'menyediakan', 'sate', 'kambing', 'segar', 'ayam', 'gulai', 'harga', 'terjangkau', 'lahan', 'parkir', 'memadai']",Positive
"['ajak', 'keliling', 'artis', 'alias', 'anak', 'istri']",Neutral
"['lokasi', 'rumah', 'susu', 'lembang', 'bertebaran', 'beraneka', 'oleh', 'cemilan', 'yoghurt', 'bollen', 'banana', 'crispy', 'susu', 'murni', 'sambel']",Neutral
"['smoking', 'room', 'enak', 'banget', 'luas']",Positive
"['salah', 'catering', 'masamba']",Neutral
"['sate', 'kambing', 'nikmat', 'pilihan', 'daging', 'potong', 'bakarnya', 'empuk', 'juicy', 'makyuuussss', 'tenan']",Positive
"['makanan', 'minuman', 'menu', 'goreng', 'kipasnya', 'habis', 'digoreng', 'minyak', 'pelayanan', 'cepat', 'cocok', 'teman']",Positive
"['the', 'most', 'memorable', 'is', 'the', 'friendly', 'staff', 'ukuran', 'makanan', 'porsi', 'segitu', 'murah', 'ribuan', 'aja', 'decent', 'tempatnya', 'luas', 'hawanya', 'adem', 'i', 'suggest', 'to', 'visit', 'it', 'in', 'the', 'afternoon', 'jam', 'an', 'sore', 'will', 'go', 'back', 'here', 'when', 'i', 'visit', 'bandung', 'in', 'the', 'future']",Positive
"['emang', 'perokok', 'ya', 'salah', 'pilih', 'alergi', 'rokok', 'macem', 'ga', 'makanannya', 'sayang', 'porsinya', 'dikit', 'banget', 'ga', 'sesuai', 'harga', 'krn', 'puasa', 'minggu', 'ke', 'pa']",Negative
"['tolong', 'didahulukan', 'orang', 'duluan', 'antri', 'nunggu', 'jam', 'makanannya', 'dingin', 'gimana', 'yaa', 'biaya', 'kenyamanantapi', 'nyaman']",Negative
"['tutup']",Neutral
"['beli', 'online', 'transaksinya', 'ga', 'pisan', 'beli', 'langsung']",Neutral
"['aja', 'baso', 'gak', 'bihunmie', 'sayur', 'harga', 'baso', 'satuan', 'porsi']",Neutral
"['jam', 'tutup', 'kecepatan']",Negative
"['nyaman', 'nongkrong', 'pilihan', 'makan', 'bervariasi', 'harga', 'menengah', 'keatas', 'sayang', 'musik', 'telihat', 'stage']",Positive
"['harga', 'mahal', 'aja', 'penjualannya', 'pelayanan', 'sialan', 'bangsat', 'sekali', 'u', 'coba']",Negative
"['menunya', 'itu']",Neutral
"['makanan', 'itu', 'aja', 'sate', 'ayam', 'nasi', 'goreng', 'pecel', 'lele', 'ayam', 'bakar', 'sate', 'ayam', 'nasi', 'goreng', 'pecel', 'lele', 'ayam', 'bakar']",Neutral
"['bakso', 'wagyu', 'rekomendasiin', 'siomay', 'basah', 'baso', 'gorengnya', 'juaraa']",Positive
"['sobat', 'traveler', 'jalan', 'lembang', 'salah', 'satu', 'kuliner', 'rekomended', 'susu', 'lembang', 'lokasinya', 'pasar', 'lembang', 'makan', 'susu', 'lembang', 'nih', 'gue', 'kasih', 'tau']",Neutral
"['tempatnya', 'sepi', 'kek', 'gurun', 'pasir']",Neutral
"['tempat', 'parkir', 'tertib']",Positive
"['parkir', 'alternatif', 'jlnpurnawarman', 'e', 'cendol', 'elizabeth', 'warung', 'merdeka']",Neutral
"['sate', 'ayamnya', 'empuk', 'besar', 'sate', 'kambingnya', 'juicy', 'mantab', 'gulai', 'kambingnya', 'harga', 'bersahabat', 'sesuai']",Positive
"['pelayanannya', 'lama', 'minuman', 'pesan', 'konfirmasi']",Negative
"['kalo', 'martabak', 'bandung', 'yaa', 'martabak', 'san', 'fransisco', 'martabak', 'asin']",Negative
"['ok', 'nyantai', 'menu', 'mamin', 'ok', 'malem', 'rame', 'tamu', 'anak', 'muda', 'klu', 'rekan', 'bisnis', 'baiknya', 'seblum', 'jam']",Neutral
"['lumayan']",Neutral
"['kesini', 'liat', 'sistemnya', 'ambil', 'lauk', 'liat', 'piring', 'lauknya', 'habis', 'dimana', 'ambil', 'piring', 'lauk', 'pelayan', 'ga', 'ngerti', 'malh', 'pilih', 'lauk', 'mbak', 'ya', 'tau', 'pilih', 'lauk', 'piring', 'gue', 'kudu', 'bawa', 'lauk', 'pake', 'tangan', 'kosong']",Negative
"['pesen', 'bubur', 'ayam', 'mie', 'goreng', 'take', 'away', 'nunggu', 'jam', 'orang', 'pesanannya', 'duluan']",Negative
"['nonggrong', 'daerah', 'terkenal', 'dibandung', 'kalo', 'pekan', 'bingung', 'kemana', 'kesini', 'kadang', 'artis', 'artin', 'suka', 'sisha', 'menu', 'enaknya', 'gue', 'nasgornya', 'enak', 'aja', 'gitu']",Positive
"['ovomalt', 'keju', 'large', 'pilihan', 'favorit', 'saya', 'jangan', 'ngaku', 'bandung', 'kalo', 'beli', 'ovomalt', 'keju', 'san', 'francisco']",Positive
"['lumayan', 'bakso']",Positive
"['tempatnya', 'emg', 'asri', 'banget', 'harga', 'makanannya', 'standard', 'to', 'pricey', 'wajar', 'bukber', 'ruangannya', 'banget', 'vip', 'pelayanannya', 'lumayan', 'tempatnya', 'banget', 'cocok', 'acara', 'kecilan', 'keluargabukber', 'nawarin', 'wedding', 'package', 'mayan']",Positive
"['makan', 'bakso', 'seru', 'bersih', 'baksonya', 'enak', 'harga', 'relatif', 'murah', 'kalo', 'kantong', 'tebel', 'hehe']",Positive
"['i', 'feel', 'a', 'very', 'big', 'change', 'to', 'the', 'taste', 'of', 'your', 'food', 'the', 'tongseng', 'soup', 'in', 'which', 'i', 'usually', 'adore', 'ha', 'already', 'missed', 'it', 'originality', 'kinda', 'different', 'from', 'another', 'ismayas', 'outlet', 'yours', 'is', 'too', 'salty', 'and', 'the', 'spice', 'taste', 'very', 'imbalance', 'too', 'much', 'turmeric', 'i', 'guess', 'can', 'you', 'just', 'fix', 'it', 'and', 'bring', 'the', 'old', 'tongseng']",Negative
"['service', 'buruk', 'staff', 'bertugas', 'taking', 'order', 'menyimpan', 'menu', 'ucapan', 'sepatah', 'katapun', 'panggil', 'order', 'penyajian', 'servernya', 'pembuka', 'hallo']",Negative
"['murah', 'makananan', 'mahal', 'minum', 'snacknya']",Negative
"['mmhhh', 'yummi', 'coklatnya']",Positive
"['the', 'same', 'padang', 'restaurant']",Neutral
"['nongkinongki', 'beragam', 'menu', 'makanan', 'minuman', 'harga', 'terjangkau']",Positive
"['pabrik', 'susu', 'menjual', 'produk', 'matang', 'mentah', 'food', 'court', 'makanan', 'variatif', 'mahal', 'enak', 'penyajiannya', 'terkesan', 'asalasalan', 'laku', 'lantaran', 'wisata', 'beli', 'mie', 'ayam', 'seharga', 'rb', 'ramah', 'lidah', 'mangkok', 'plastik', 'tipi', 'terbang', 'tertiup', 'angin']",Negative
"['jam', 'nunggu', 'pesanan', 'waitersnya', 'aware']",Neutral
"['suka', 'banget', 'soesnya']",Positive
"['pilihan', 'nongkrong', 'jam', 'tempatnya', 'remang', 'orang', 'ngerokok', 'kesannya', 'kumuh', 'makanan', 'oke']",Negative
"['makanan', 'khas', 'bandung', 'enak']",Positive
"['coffee', 'shop', 'ngopdoel', 'cibereum', 'ok', 'lho', 'lokasi', 'makanan', 'hospitality', 'tempatnya', 'luas', 'event', 'an', 'orang', 'bentuk', 'garden']",Positive
"['satenya', 'enak', 'bau', 'worti', 'it']",Positive
"['bilang', 'harga', 'mahal', 'untuk', 'jajanan', 'kaki', 'suka', 'ya', 'tetep', 'makan', 'favorit', 'ayam', 'madu', 'ayam', 'wijen', 'bistik', 'rendang', 'buncis', 'keroket', 'isi', 'sayuran', 'sambal', 'e', 'jeruk', 'nipis']",Negative
"['eat', 'nasi', 'pinggiran', 'ber', 'totalnya', 'k', 'weww', 'mestinya', 'jual', 'kudu', 'mesin', 'edc', 'jaga', 'kalo', 'ga', 'bawa', 'uang', 'masakannya', 'enak', 'ga', 'enak', 'harga', 'sangat', 'mahal', 'spt', 'over', 'price']",Negative
"['suka', 'sate', 'kambing', 'rekomen', 'banget', 'daging', 'kambingnya', 'lembut', 'harga', 'ga', 'boong', 'cuy']",Positive
"['baksony', 'skrng', 'uda', 'ngga', 'ad', 'mie', 'yah']",Neutral
"['baso', 'variatif', 'enak', 'harga', 'terjangkau']",Positive
"['berkualitas', 'ga', 'berubahsayang', 'sambel', 'cocolnya', 'berubahlebih', 'enak']",Positive
"['pelayan', 'sopan']",Positive
"['pesan', 'sate', 'kambing', 'gulai', 'duanya', 'enak', 'satenya', 'empuk', 'banget', 'gurih', 'gulainya', 'kuahnya', 'ok', 'legend']",Positive
"['kue', 'soesnya', 'melegenda', 'ok']",Positive
"['buka', 'jam', 'udah', 'antri', 'bawa', 'mobil', 'susah', 'parkiran', 'dibayar', 'mantap', 'emang', 'harga', 'ga', 'boong', 'mahal', 'bingits']",Negative
"['bad', 'and', 'not', 'worth', 'the', 'money', 'and', 'it', 'small', 'potion', 'even', 'not', 'make', 'baby', 'full']",Negative
"['sarapan', 'msh', 'okay']",Positive
"['salah', 'satu', 'lokasi', 'nyate', 'kambing', 'hit', 'enak', 'bandung', 'beruntung', 'pesan', 'jenis', 'sate', 'kambing', 'sineureut', 'ha', 'empuuuk', 'juicy', 'sate', 'buka', 'larut', 'malam']",Positive
"['kesini', 'kalo', 'buka', 'puasa', 'menunya', 'berubah', 'overprice', 'gak', 'enak', 'makanan', 'aneka', 'makanan', 'berat', 'snack', 'puasa', 'menu', 'makanannya', 'dipangkas', 'menu', 'makanan', 'berat', 'gak', 'enak', 'menu']",Negative
"['pelayanan', 'gak', 'recommend', 'banget', 'karyawanya', 'peka', 'meja', 'kotor', 'asyik', 'ngobrol', 'temanya', 'dibelakang', 'bad', 'service']",Negative
"['parkir', 'luas', 'duduk', 'pelayanan', 'tanggap']",Positive
"['harga', 'mahal', 'potongan', 'buncis', 'mengecil']",Negative
"['lokasinya', 'pinggar', 'jalan', 'trans', 'palugorontalo', 'pelayanan', 'ok', 'cepat', 'makanan', 'ikan', 'batu', 'kuah', 'asam', 'top', 'buanget', 'minumnya']",Positive
"['jujur', 'aja', 'nih', 'gak', 'salah', 'beli', 'menu', 'coba', 'menu', 'standar', 'gado', 'gado', 'enak', 'jakarta']",Positive
"['authentic', 'mie', 'ayam', 'bakso', 'wonogiri', 'wajib', 'coba', 'pokoknya']",Positive
"['makanan', 'murah', 'anak', 'kuliahan', 'mengecewakan', 'harga', 'berlaku']",Positive
"['ya', 'endess', 'dimakan', 'pa', 'anget', 'pembayaran', 'pintu', 'jual', 'oleh', 'lembang', 'harga', 'mahal', 'bolu', 'susu', 'lembangnya', 'lokasi', 'strategis', 'parkir', 'luas', 'toilet', 'kuliner']",Positive
"['pa', 'makan', 'malam', 'mampir', 'lokasinya', 'luas', 'parkirannya', 'luas', 'menu', 'makannya', 'indonesian', 'food', 'cocok', 'lidah', 'harga', 'restaurant', 'menengah', 'sesuai', 'harga', 'dibagian', 'belakangnya', 'taman', 'pertemuan']",Positive
"['nyaman', 'kursi', 'kadang', 'berebut', 'untung', 'jenis', 'makanan', 'variatif', 'kalo', 'bicara', 'nostalgia', 'cozy']",Positive
"['petis', 'nampol']",Positive
