summary,text
Selalu Enak,"Udah lama banget aku nggak makan di Warung Leko, nah kebetulan lagi di Kokas dan bingung mau makan siang apa akhirnya pilihan jatuh kepada Warung Leko. Tempatnya sih emang agak mojok yaa tapi enaknya jadi nggak terlalu riweuh lihat banyaknya pengunjung yang berlalu lalang, kapasitasnya juga cukup banyak kok. Suasananya nyaman dengan pencahayaan yang agak temaram. Staffnya juga lumayan banyak, sigap dan cekatan, aku suka karena pelayanannya pun cepat.Aku pesan empal penyet, bakso penyet dan juga sayur asem. Lucu deh karena staffnya sempat kasih info kalau sayur asem di Warung Leko ini punya rasa yang agak manis, jadi dikonfirmasi dulu kira-kira tetap mau pesan atau engga dan karena aku pribadi juga udah beberapa kali makan di Leko jadi udah tau rasanya dan sama sekali nggak keberatan dengan citarasa manis yang ada. Untuk sambal penyetnya aku pilih level sedang karena menurutku pedasnya pas. Empalnya enak banget dengan bumbu yang meresap dan daging yang super lembut, bakso penyet juga nggak kalah enak dan tetap jadi salah satu menu favoritku di sini. Sayur asemnya juga enak, asam-manis segerrrr dengan porsi yang cocok untuk sharing 1-2 orang."
Mau makan IGA penyet ala Sundaan,"Laper Buuuu.. gilingan hari ini tuh makan banyak banget.. padahal niatnya mau diet Karbo 🤣It means “Niat” you know ya kalo niat tidak didukung support sistem dari lingkungan alhasil Zonk !!! Apalagi pas jalan bareng temen yang anti banget dengan Kata Diet… yang ada pasti bakalan di hasut buat “udah diet nya mulai besok ajaGimana bisa nolak kalo di tawarin makan dengan basic menu yang paling gw suka,,“IGA penyet…” yes IGA penyetTau dong iga penyet, nah bedanya kalo di resto ini IGA penyetnya empuk banget” empuk tapi gak dingin ya 🥶Dan sambelnya terkenal banget ada level nya mulai dari yang standard sampe yang pedes banget, Dan uniknya lagi disini mereka nyediain Air Legen..Tau gak air legen itu apa?Air legen tuh air dari buah lontar; dan ini minuman khas gresik, Wah gila sih,, ada air legen dalam mall. Must try banget 🫰Jadi dietnya gimana? Gak pa2 kali khusus hari ini dietnya ditunda dulu, sampai kapan? Sampai kita bertemu lagi.Happy monday CooLiner ❤️"
Lunch time at Warung Leko,"Waktu nya makan siang di mal kota kasablanka. Mencari menu makanan khas indonesia, kali ini saya tertuju ke Warung Leko. Restoran yang menyajikan makanan khas indonesia, dengan menu yang lumayan banyak, harga yang pas dikantong dan yang tidak kalah penting adalah rasa yang enak.Pelayanan di restoran ini sangat ramah selain itu kebersihan restoran ini pun dijaga dengan baik"
Iga,"Cukup sering juga makan disini kalo lagi pengen makan makanan indonesia terutama yang sambel2an dan harganya masih cukup ok.Makan disini pas makan malem sih dan ga begitu rame untungnya.Kami order :1. Iga PenyetDaging nya cukup banyak dan empuk tapi sambel nya agak kurang enak deh kali ini. Ga tau disini doang apa gimana ya.2. Tempe BakarOrder tempe bakar ini karna kelihatan enak dan lumayan buat tambahan lauk. Ternyata emang rasanya enak, bumbu kecap nya cukup meresap sih terus dikasi sambal kecap juga.Place : 6.5/10Price : 7/10Taste : 7/10Service : 7/10Overall ok sih untuk makanan dan harganya. Meskipun uda agak kalah sekarang sambel nya dibanding tempat laen yang aku sering makan juga."
Lele sambal ijo,"Gue disini order lele sambel ijo & nasi putih. Karna semua menu disini baru lauknya aja. Oiya rasa sambel ijonya juara, ternyata enak juga yaa. Nasi putihnya malah kurang pulen gitu. Oiya lelenya sih enak tapi agak kurang bersih kali ya jadi masih ada bagian yg pahit, eh apa bntr lg spoil HEHE...."
Bbrp masakannya agak hambar,"Follow my ig: @andriselly 
 Lg pengen makan masakan Indo jdlah saya kesini.
Suasana resto ramai, saya hampir tidak dpt tmpt duduk. 
 Pesanan saya:
1. Ayam penyet
Ayam goreng yg dikasi sambel. Ayamnya enak empuk gurih. Sambelnya juga cukup pedas. 
 2. Gurame bledek
Penampakan sangat menggugah selera tpi menurut saya rasanya agak hambar & terlalu berminyak. Cabenya jg ga gt pedas 
 3. Cah kangkung
Agak hambar rasanya."
Penyetan Favorit,"Penyetan dengan berbagai lauk, harga oke, porsi kenyang dan biasanya ada dalam Mall ya Watung leko ini, untuk cabang kokas biasanya selalu rame apalagi saya kesini pas mau jam makan siang. 
 Pelayanan nya ramah dan cekatan, biarpun sempet waiting list beberapa menit mereka langsung mencarikan meja yang kosong dan langsung sigap membersihkan meja.
Yang jadi jawara disini selain sambal penyet nya, Iga nya juga empuk dan enak. 
 Saya makan siang bersama teman dan kami pesan:
- Sop Iga: Kuah sop nya super tasty, gurih tapi ga berlebihan, disajikan saat masih hangat, iga nya terdiri dari 2-3 potong. 
 - Sop Iga kuah asam: Saya lupa untuk nama menu ini, yang pasti rasa kuahnya pedas asam enakkkk banget, rasa asam nya balance sama iga nya, ada beberapa potong iga dan tomat hijau, iga nya empuk dan ga alot. 
 - Ayam penyet: Untuk menu ayam sendiri saya ga pernah pesen, coba punya temen. Untuk ayam gorengnya sih biasa aja, terbantu sama sambal penyetnya yang emang enak dan jadi primadona disini 
 - Terong penyet: Ini salah satu lauk tambahan wajib untuk saya, terong nya dipotong bentuk kipas dan ditepung, disajikan saat masih hangat dan crispy dibagian luar, dalam terongnya lembut dicampur sama sambel penyet extra pedas(bisa request) rasanya supwe supwe!"
Dikit porsinya,"Mau ganjel perut dengan express dan liat leko di depan mata. Jadi yaudah makan disini aja. Cuma pesen iga penyet sama nasi. Datengnya cepet banget. Iganya gurih dan asin, kalo seasoningnya ditambahin pasti makin enak. Sambelnya lumayan, saya minta ga pedes dan dia bisa bikin ga pedes. Cuma agak bau aja sih, ntah mungkin karena terasinya. Porsinya dikit banget, ujung2nya jadi ga murah. Pelayanannya super ramah dan sigap."
Sambel penyetnya enak!,"Lagi laper banget dan butuh nasi hahaha akhirnya melipir ke Warung Leko dan pesen ayam penyet. Ayamnya empuk bangeeet! Gurih, bumbunya meresap. Trus sambelnya sambel terasi dan enaaak! Sambelnya ada pilihan pedes atau sedang. Gue pilih pedas tapi bagi gue ini masih kurang pedes. Tapi gapapa, yang penting enak dan porsi sambelnya melimpah jadi puassss. Untuk pelayanan, oke banget. Ramah-ramah dan sigap melayani permintaan konsumen. Tempatnya juga nyaman. Harga juga masih terjangkau. Kalo mau makan masakan Indonesia di mall, Warung Leko bisa jadi rekomendasi nih!"
Cobain kangkung crispy nyas,"Abis pulang gereja bingung mau mkn apa..yoda pilih leko aja deh..nyobain kankumg crispy nya ternyata enak..tapi tahu tempe nya kok gak enak yah asem gtiga nya enak sama sambelnya yg gw pesen super pedes, tp ga pedes ternyata..untuk harga masi ok, tapi pelayanan nya lama bgt makanan nya keluar.."
Jawa Klasik di tengah kota Metropolitan,"Sebagai manusia perantauan disini yang sering kangen makanan kampung, tempat ini sangat mengobati rindu sekali. Mulai dari makanan nya sampai vibes nya yang bener2 Jawa klasik, gini aja udah berasa di kampung sendiri.Konsep makan disini sih semi prasmanan, bisa pilih2 sendiri di depan yang mana berbagai macam lauk itu udah bederet, atau bisa juga order dari meja. Varian menu nya buwaaanyak banget, enggak bakal bosen rasanya meski sering2 kemari. FYI, disini udah pasti kalo jam makan siang itu ruaaaame banget, jadi kalo memang kepengen makan disini ya dateng lebih awal atau reservasi aja dulu, itupun dateng nya jangan molor2 dari jam reservasi, soalnya asli disini itu selalu penuh.Beberapa menu yang diorder jelas sayur mangut tahu duluan, terus ada cumi hitam, sayur daun singkong, ayam setan, tumis jamur, dan tidak lupa mendoan / peyek nya. Untuk minuman ya biasa aja, dessert nya juga lumayan. Selebihnya untuk makanan2 kecil lainnya bisa kita ambil gratis, seperti kerupuk, pisang ataupun jamu. Disini harga nya agak tinggi ya tapi menurut gw ya sepadan lah sama rasa dan ambience yang kita dapet kalo makan disini. Nyaman banget sih."
Resto Ala Jawa di Setiabudi,"Nyobain makan di Warung MJS saat jam makan siang. Saat masuk resto suasananya otentik Jawa sekali. Sangat suka dengan nuansany.Disitu aku pesan beberapa menu- Ayam Gondol Wewe (8/10)Ayam cabe hijau. Bumbunya enak ayamnya lembut- Ayam Kawul (8.5/10)Ayam goreng serundeng kelapa. Bumbunya sangat berasa dan gurih- Ayam Bakar Abang (8/10)Ayam Bakar pedas manis-Ayam pedas (8.5/10)Pedas dan bumbunya pas Dan kita pesen beberapa menu sayur yg bisa untuk sharing yaitu Oseng Terong, Oseng Krecek, Oseng Buncis, Oseng Pare. Untuk sayurannya masih fresh dan bumbunya juga enak.Untuk harga cukup affordable"
Apa cuma aku yang mikir harganya mahal banget!? 😂,"Jujur bagi aku overprice yang ampe kaget pas bayar LOL! First of all, I love the ambience. Kayak elevated warteg kali ya, secara harga yang tidak murah. Tapi tempatnya warm dan jadul klasik gitu, suka deh! Disini menunya prasmanan, kamu tinggal tunjuk mana yang kamu mau. Banyak banget pilihannya, cocok buat yang gampang bosan, tiap kesini cobain aja satu-satu. Rata-rata rasanya enak, aku pesan tempe oreg, garang asam, paru goreng dan lain-lain. Minumnya aku pesan es beras kencur (enak banget haha love!) dan es kopi susu bu lurah yang aku tau memang rasanya enak dari dulu-dulu pas cobain. Sebagai penutup aku juga cobain kue lupis, enak juga. Secara rasa ga ada complaint. Tapi harganya sih 😂😂Ya maybe aku doang yang bilang mahal ya~ overall tetap worth a visit."
Rasa di Jawa,"Ke sini udah ketiga kalinya. 2x ke sini selalu malem ditambah penerangannya minim jadi visual makanannya ngga terlalu jelas terlihat 😂 Baru kali ini pas masih ada matahari dan kebetulan dapet spot outdoor.⚜ Bakmi GodokTiap ke sini pasti pesen ini. Rasanya enak, kuahnya light, mie-nya pakai mie kuning ternyata. Rasanya agak beda sama yg dulu, yg ini lebih tipis rasanya. Disajikan bersama sate ati ampela berbumbu kayak semur. Harganya 32k⚜ Ramesan Oseng Buncis dan Cumi Cabe HijauEnak tapi cuminya asinn. Tumis Buncis 16k dan Cumi Cabe Hijau 26k. Buat harga ramesan menurutku agak overprice dengan porsi dan rasa yg ada"
Makan siang nyamiii,"Selalu happy kalau makan siang disini, padahal lumayan sering juga mampir sih. Mulai dari keluarga sampai teman kantor pasti saya ajak coba makan kesini dan biasanya pada ikutan syuka!Pesan nasi merah dengan berbagai lauk! jangan lupain kikil sambal setan, cumi cabai hijau nya kudu wajib! tambahan lain ada tumis oncom, tempe kecap dan udang sambal merah. Semua yang saya coba sih selalu enak!"
Akhirnya makan kesini lagi! Happy!,"Kayanya sih hampir 2 tahunan ga kesini akhirnya rasa rindu nya terbayarkan hahaha kalo untuk saya yang doyan pedes kesini tuh kaya hal yang menyenangkan😅Kesini pas jam makan siang tapi ga begitu rame, jadi langsung pesan ayam sambel setan, kikil, tahu baso, tumis pare dll. Rasanya masih sama, enak dan pedas! Suasana nya pun masih samaa.."
Pedes2 semua 😑,"Makanan disini pedes2 semua. Awalnya mesen cumi mercon dan kikil mercon. 2 suap pertama masih berusaha menahan nangis. Udah 4 suap sumpah gak kuat banget. Mata, nulut, perut semua sampe perih. Ujung2 nya cuman makan bunga pepaya cah sama ayam bakar manis. Yaelah. Padahal yg pedes2 itu enak cuman yaaahhhh gue makin tua makin payaah makan pedes :""( Disini bisa lohhh beli kopi susu bu lurah, enakk ga strong, cuman manis bgt HAHA. Kue cubitnya enaaakk cuman agak lama, jadi pesen lah dr awal kalian mulai makan, tar datengnya pas2an sama kalian beres makan."
Cocok buat yg laper,"Tempatnya dipinggir jalan gak susah dicari cuma ikuti jalan aja. Pesen ayam sambal iblis kalau gak salah sama sambal iblis nya, itu enak banget sih nagih, empuk dan enak deh, tp yg disayang itu adalah harganya, untuk ayam sambal 2 potong, 2 nasi putih, 2 es teh manis dan 1 sambal iblis itu kena 97K, jadi harganya terlalu high untuk makanan seperti itu.. Soal tempat sih nyaman, tenang dan kadang terlihat horor gitu... Pelayannya ramah ramah sekali sampai ke tukang parkirnya..."
Wajib Coba Sayur Kreceknya,"Buat kalian penggemar masakan jawa,, wajib banget coba resto ini. Rasa masakan nya benar2 authentic dan harganya reasonable. Ada live music jawa  juga disini. Sayang kalau bawa mobil agak sulit cari parkirnya"
Tempatnya Unik,"Ambience/service: Wah walaupun dari depan kecil ternyata dalam nya luas bgt dan dekornya sungguh etnik! Walau ramai tapi pelayanannya cepat dan atentifFood:1. Ayam bakar abang (23k): ini ayam bakar bumbu pedes, ayamnya kecil keanya pake ayam kampung/pejantan.. terus ga terlalu pedes rasanya. 2. Sayur asem merah (16,2k): sayur asam sedikit pedas, enak! pas bgt asem/gurih/pedes nya. segerr isinya jg banyak3. Nasi merah (10k): pulen nya passs4. Es teh tawar (7.6K): gw suka es teh nya berasa tehnya dan gelasnya besar hihihihi5. Cumi hulk (24.5k): cumi asin dengan bumbu cabe hijau.. bumbu cabe hijau nya enak tapi cuminya asin bgt! hahaha porsinya mayan banyak"
Uji Nyali disini!,"Aku sebenernya agak takut makan disini soalnya ambience nya kayak berkunjung ke rumah dukun. Barang2 antiknya, keris2, suara galung, sampe sepeda bekas, topi2 bekas semua digantung di dinding2 di ruang tengah. Makanan nya pun semua pedes, diatas rata2 yang ku bisa tolerir. Cuman nyokap suka bgt makanan nya soalnya pedes2. Yg aku bisa makan paling ayam2an nya, sayur, dan kue cubit setengah mateng. Ada es kopi susu bu lurah juga disini pake kacang snacknya."
Tempat lunch yg enak bgt!,"Udah ada ide makan siang dimana belom? Nah buat yg kerja disekitar Setiabudi, kudu bgt nyobain MJS (Mbah Jingkrak Setiabudi) ini tempatnya asik bgt buat santap2 makan siang, dengan variasi yg super banyak! Tempatnya adem dan ada kolam2nya jg.Harus cobain lauk beserta NASI HIJAU nya! Perpaduan Nasi Uduk dan Pandan, enak bgt!! Oiya kudu bgt order Tempe Mendoannya❤️"
Indonesia buffet style,"Indonesia buffet styleIt is one of the authentic Indonesia restaurant with so many variants. The place is also very authentic, I think it is a good place to invite your expatriat friends enjoying local food."
Doyan banget ya ampun,"Ya ampuuun saya tuh kemana aja sih hahaha masa mau ke mjs dari kapan tau baru coba nya sekarang, itupun karena udah penasaran banget sama si ayam sambel nya ituh!Untuk weekend lebih crowded jadi kudu sabar, kalem kalo mau makan disini, saya se-excited itu loh pas liat berbagai lauk pauk, sayur, tumisan dijejerkan dengan apik! Dan yang suka makanan pedas kaya saya, mjs terasa syurgawi~ mau pilih semua nya yang serba sambal hahaha pelayanan nya ramah dan informatif~ oh iya! Juga sabar hahaha Saya coba ayam sambal, cumi sambal ijo, kikil sambel apa ya yang paling pedes pokoknya, tumis pare dan sambel yang katanya terpedes juga, intinya? Makanan nya enak! Ga ada yang failed apalagi kalo soal pedes nya, pedes serius gitu lah hahaha dan yang asiknya disini ada pilihan nasi merah nya, harga nya bisa dibilang cukup terjangkau dan 1 porsi lauk cukup untuk 2-3 orang ya. Saya rekomen banget ayam sambel sama kikil pedes nya! Enakkkkk"
NYAH KUNYAH,"Hari ini aku coba pesen ayam sambal setan & ayam gongso dari nyah.kunyah untuk rasa ayam sambal setan super pedas banget menurutku yang suka pedes sih boleh cobaa enak rasanya , untuk ayam gongso enak juga tapi sedikit berminyak kalo makan lagi hangat enaakk sama dikasih kremesan untuk di nasinya makin enak ada sensai crunchy nya 😍😋"
Lunch Ayam Bakar,"- nasi pulen dibungkus daun pisang- tahu goreng lembut dan gede banget. enak, kalo tahu goreng yang dibeli di bandung- tumis buncis, kaya masakan rumah-sambel terasi, lebih suka sambel bawang sih sekarang- ayam bakar, gede dan rasanya mantul, meresap sampe dalem, uenak tenan."
